"U:0","U:1","U:2","d","nuT","p","Points:0","Points:1","Points:2"
0.0018518,3.209e-05,0,0.0035656,2.1166e-06,-0.00025166,0.0066005,0.003563,0
0.0014219,0.00064517,0,0.0035656,3.5888e-06,-0.00034957,0.0073872,0.003563,0
0.00074781,0.0012747,0,0.0035656,5.1458e-06,-0.00045727,0.008185,0.003563,0
-0.00017324,0.0018908,0,0.0035656,6.7351e-06,-0.00057312,0.0089942,0.003563,0
-0.0013344,0.0024686,0,0.0035656,8.3133e-06,-0.00069558,0.0098149,0.003563,0
-0.002721,0.0029907,0,0.0035656,9.8483e-06,-0.00082333,0.010647,0.003563,0
-0.004314,0.0034481,0,0.0035656,1.1321e-05,-0.00095538,0.011492,0.003563,0
-0.0060929,0.0038406,0,0.0035656,1.2729e-05,-0.0010911,0.012348,0.003563,0
-0.008039,0.0041745,0,0.0035656,1.4079e-05,-0.0012301,0.013216,0.003563,0
-0.010137,0.0044608,0,0.0035656,1.5388e-05,-0.0013725,0.014097,0.003563,0
-0.012377,0.0047118,0,0.0035656,1.6676e-05,-0.0015182,0.014991,0.003563,0
-0.014751,0.0049397,0,0.0035656,1.7962e-05,-0.0016676,0.015897,0.003563,0
-0.017256,0.0051545,0,0.0035656,1.9262e-05,-0.0018208,0.016816,0.003563,0
-0.019891,0.0053641,0,0.0035656,2.0587e-05,-0.001978,0.017748,0.003563,0
-0.022657,0.0055742,0,0.0035656,2.1947e-05,-0.0021394,0.018693,0.003563,0
-0.025556,0.0057881,0,0.0035656,2.3344e-05,-0.0023051,0.019652,0.003563,0
-0.028591,0.0060074,0,0.0035656,2.4782e-05,-0.002475,0.020625,0.003563,0
-0.031766,0.0062322,0,0.0035656,2.6259e-05,-0.002649,0.021611,0.003563,0
-0.035082,0.0064614,0,0.0035656,2.777e-05,-0.0028269,0.022612,0.003563,0
-0.038541,0.0066929,0,0.0035656,2.9313e-05,-0.0030081,0.023627,0.003563,0
-0.042145,0.0069242,0,0.0035656,3.088e-05,-0.0031922,0.024656,0.003563,0
-0.045891,0.0071521,0,0.0035656,3.2464e-05,-0.0033781,0.0257,0.003563,0
-0.049778,0.0073731,0,0.0035656,3.4059e-05,-0.0035649,0.026758,0.003563,0
-0.053802,0.0075834,0,0.0035656,3.5654e-05,-0.0037511,0.027832,0.003563,0
-0.057955,0.007779,0,0.0035656,3.7242e-05,-0.0039352,0.028921,0.003563,0
-0.062229,0.0079559,0,0.0035656,3.8812e-05,-0.0041151,0.030026,0.003563,0
-0.066612,0.0081098,0,0.0035656,4.0356e-05,-0.0042886,0.031146,0.003563,0
-0.071091,0.0082364,0,0.0035656,4.1863e-05,-0.0044528,0.032282,0.003563,0
-0.075649,0.0083314,0,0.0035656,4.3322e-05,-0.0046046,0.033435,0.003563,0
